"H (A_per_meter)" 	"B (tesla)"
67500.00	0.93
67600.00	0.93
67700.00	0.93
67800.00	0.93
67900.00	0.93
68000.00	0.93
68100.00	0.93
68200.00	0.93
68300.00	0.93
68400.00	0.93
68500.00	0.93
68600.00	0.93
68700.00	0.93
68800.00	0.93
68900.00	0.93
69000.00	0.93
69100.00	0.93
69200.00	0.93
69300.00	0.93
69400.00	0.93
69500.00	0.93
69600.00	0.93
69700.00	0.93
69800.00	0.93
69900.00	0.93
70000.00	0.93
70100.00	0.93
70200.00	0.93
70300.00	0.93
70400.00	0.93
70500.00	0.93
70600.00	0.93
70700.00	0.93
70800.00	0.93
70900.00	0.93
71000.00	0.93
71100.00	0.93
71200.00	0.94
71300.00	0.94
71400.00	0.94
71500.00	0.94
71600.00	0.94
71700.00	0.94
71800.00	0.94
71900.00	0.94
72000.00	0.94
72100.00	0.94
72200.00	0.94
72300.00	0.94
72400.00	0.94
72500.00	0.94
72600.00	0.94
72700.00	0.94
72800.00	0.94
72900.00	0.94
73000.00	0.94
73100.00	0.94
73200.00	0.94
73300.00	0.94
73400.00	0.94
73500.00	0.94
73600.00	0.94
73700.00	0.94
73800.00	0.94
73900.00	0.94
74000.00	0.94
74100.00	0.94
74200.00	0.94
74300.00	0.94
74400.00	0.94
74500.00	0.94
74600.00	0.94
74700.00	0.94
74800.00	0.94
74900.00	0.94
75000.00	0.94
75100.00	0.94
75200.00	0.94
75300.00	0.94
75400.00	0.94
75500.00	0.94
75600.00	0.94
75700.00	0.94
75800.00	0.94
75900.00	0.94
76000.00	0.94
76100.00	0.94
76200.00	0.94
76300.00	0.94
76400.00	0.94
76500.00	0.94
76600.00	0.94
76700.00	0.94
76800.00	0.94
76900.00	0.94
77000.00	0.94
77100.00	0.94
77200.00	0.94
77300.00	0.94
77400.00	0.94
77500.00	0.94
77600.00	0.94
77700.00	0.94
77800.00	0.94
77900.00	0.94
78000.00	0.94
78100.00	0.94
78200.00	0.94
78300.00	0.94
78400.00	0.94
78500.00	0.94
78600.00	0.94
78700.00	0.94
78800.00	0.94
78900.00	0.94
79000.00	0.94
79100.00	0.94
79200.00	0.94
79300.00	0.94
79400.00	0.94
79500.00	0.94
79600.00	0.94
79700.00	0.94
79800.00	0.94
79900.00	0.94
80000.00	0.94
80100.00	0.94
80200.00	0.95
80300.00	0.95
80400.00	0.95
80500.00	0.95
